actor;sex;movies;actorProductivity;topMovie;topMovieRevenue;totalRevenue;avRevenue;birthday;launchdateTopMovie;comingMovie;dateComingMovie;Height;bornInCity;bornInCountry;MarrialStatus;Children;Dead;comingEvents;comingMovie2;dateComingMovie2;comingMovie3;dateComingMovie3
Jennifer Coolidge;Female;13;LowerSegment 3-15 movies;Legally Blonde;97;466;36;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Bradley Cooper;Male;23;MiddleSegment 16-30 movies;American Sniper;350;2488;108;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Chris Cooper;Male;31;UpperSegment 31-74 movies;The Amazing Spider-Man 2;203;1506;49;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Dominic Cooper;Male;16;MiddleSegment 16-30 movies;Captain America;177;515;32;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Sharlto Copley;Male;7;LowerSegment 3-15 movies;Maleficent;241;561;80;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Sofia Coppola;Female;1;BeginnerSegment 1-2 movies;The Godfather Part III;67;67;67;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
John Corbett;Male;12;LowerSegment 3-15 movies;My Big Fat Greek Wedding;241;532;44;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Abbie Cornish;Male;12;LowerSegment 3-15 movies;Limitless;79;285;24;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Kevin Costner;Male;36;UpperSegment 31-74 movies;Man of Steel;291;1912;53;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Jai Courtney;Male;8;LowerSegment 3-15 movies;Divergent;151;657;82;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Brian Cox;Male;43;UpperSegment 31-74 movies;X2: X-Men United;215;1772;41;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Courteney Cox;Female;14;LowerSegment 3-15 movies;Bedtime Stories;110;580;41;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Daniel Craig;Male;23;MiddleSegment 16-30 movies;Skyfall;304;1358;59;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Bryan Cranston;Male;12;LowerSegment 3-15 movies;Madagascar 3;216;866;72;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Chace Crawford;Male;4;LowerSegment 3-15 movies;What to Expect When You're Expecting;41;78;20;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Amanda Crew;Female;6;LowerSegment 3-15 movies;The Haunting in Connecticut;55;174;29;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Russell Crowe;Male;31;UpperSegment 31-74 movies;Man of Steel;291;1681;54;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Billy Crudup;Male;23;MiddleSegment 16-30 movies;Mission: Impossible III;134;645;28;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Tom Cruise;Male;36;UpperSegment 31-74 movies;War of the Worlds;234;3582;100;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Penelope Cruz;Female;32;UpperSegment 31-74 movies;Pirates of the Caribbean 4;241;782;24;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Billy Crystal;Male;19;MiddleSegment 16-30 movies;Monsters Inc.;290;1359;72;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Ice Cube;Male;28;MiddleSegment 16-30 movies;22 Jump Street;192;1332;48;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Macaulay Culkin;Male;11;LowerSegment 3-15 movies;Home Alone;286;713;65;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Rory Culkin;Male;11;LowerSegment 3-15 movies;Signs;228;289;26;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Benedict Cumberbatch;Female;14;LowerSegment 3-15 movies;The Hobbit 2;258;1176;84;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Kaley Cuoco;Male;2;BeginnerSegment 1-2 movies;Hop;108;173;86;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
John Cusack;Male;46;UpperSegment 31-74 movies;2012;166;1155;25;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Miley Cyrus;Female;4;LowerSegment 3-15 movies;Bolt;114;322;81;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Willem Dafoe;Male;53;UpperSegment 31-74 movies;Spider-Man;404;1599;30;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Matt Damon;Male;37;UpperSegment 31-74 movies;The Bourne Ultimatum;228;2723;74;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Claire Danes;Female;23;MiddleSegment 16-30 movies;Terminator 3;150;553;24;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Paul Dano;Male;24;MiddleSegment 16-30 movies;Cowboys & Aliens;100;595;25;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Alexa Davalos;Female;5;LowerSegment 3-15 movies;Clash of the Titans;163;279;56;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Jack Davenport;Male;8;LowerSegment 3-15 movies;Dead Man's Chest;423;1164;146;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Viola Davis;Female;23;MiddleSegment 16-30 movies;The Help;170;933;41;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Rosario Dawson;Male;33;UpperSegment 31-74 movies;Men in Black II;190;915;28;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Charlie Day;Male;5;LowerSegment 3-15 movies;The LEGO Movie;258;549;110;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Daniel Day-Lewis;Male;15;LowerSegment 3-15 movies;Lincoln;182;524;35;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Emilie de Ravin;Female;4;LowerSegment 3-15 movies;The Hills Have Eyes;42;64;16;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Brooklyn Decker;Female;3;LowerSegment 3-15 movies;Just Go With It;103;210;70;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Ellen DeGeneres;Female;5;LowerSegment 3-15 movies;Finding Nemo;381;426;85;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Dane DeHaan;Female;7;LowerSegment 3-15 movies;The Amazing Spider-Man 2;203;294;42;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Thomas Dekker;Male;5;LowerSegment 3-15 movies;Nightmare on Elm Street;63;112;23;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Cara Delevigne;Female;1;BeginnerSegment 1-2 movies;Paper Towns;32;32;32;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Julie Delpy;Female;14;LowerSegment 3-15 movies;American Werewolf in Paris;27;80;6;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Judi Dench;Female;31;UpperSegment 31-74 movies;Skyfall;304;1737;56;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Robert DeNiro;Male;74;UpperSegment 31-74 movies;Meet the Fockers;279;2909;39;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Kat Dennings;Female;11;LowerSegment 3-15 movies;Thor: The Dark World;206;672;61;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Johnny Depp;Male;44;UpperSegment 31-74 movies;Dead Man's Chest;423;3238;74;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Zooey Deschanel;Female;24;MiddleSegment 16-30 movies;Elf;173;795;33;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Adam DeVine;Male;2;BeginnerSegment 1-2 movies;Pitch Perfect 2;184;249;124;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Danny DeVito;Male;44;UpperSegment 31-74 movies;The Lorax;214;1827;42;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Jenna Dewan-Tatum;Female;4;LowerSegment 3-15 movies;Step Up;65;101;25;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Rosemarie DeWitt;Female;14;LowerSegment 3-15 movies;The Odd Life of Timothy Green;52;165;12;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Cameron Diaz;Female;34;UpperSegment 31-74 movies;Shrek 2;441;3032;89;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Leonardo DiCaprio;Male;24;MiddleSegment 16-30 movies;Titanic;659;2335;97;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Vin Diesel;Male;17;MiddleSegment 16-30 movies;Furious 7;351;2122;125;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Matt Dillon;Male;38;UpperSegment 31-74 movies;Something About Mary;177;811;21;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Snoop Dogg;Male;8;LowerSegment 3-15 movies;Starsky and Hutch;88;281;35;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Martin Donovan;Male;21;MiddleSegment 16-30 movies;Insomnia;67;186;9;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Portia Doubleday;Female;4;LowerSegment 3-15 movies;Big Mommas: Like Father Like Son;38;89;22;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Michael Douglas;Male;36;UpperSegment 31-74 movies;Ant-Man;177;1774;49;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Robert Downey Jr.;Male;52;UpperSegment 31-74 movies;The Avengers;623;3539;68;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
David Duchovny;Male;19;MiddleSegment 16-30 movies;X-Files;84;286;15;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Hilary Duff;Female;10;LowerSegment 3-15 movies;Cheaper by the Dozen;139;402;40;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Josh Duhamel;Male;13;LowerSegment 3-15 movies;Transformers 2;402;1336;103;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Clark Duke;Male;8;LowerSegment 3-15 movies;The Croods;187;354;44;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Michael Clarke Duncan;Male;21;MiddleSegment 16-30 movies;Armageddon;202;1202;57;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Kirsten Dunst;Female;30;MiddleSegment 16-30 movies;Spider-Man;404;1757;59;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Mark Duplass;Male;4;LowerSegment 3-15 movies;Tammy;85;115;29;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Robert Duvall;Male;55;UpperSegment 31-74 movies;Deep Impact;141;1814;33;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Michael Ealy;Male;13;LowerSegment 3-15 movies;Think Like a Man;92;623;48;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Clint Eastwood;Male;46;UpperSegment 31-74 movies;Gran Torino;148;1711;37;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Aaron Eckhart;Male;26;MiddleSegment 16-30 movies;The Dark Knight;535;1250;48;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Zac Efron;Male;15;LowerSegment 3-15 movies;The Lorax;214;817;55;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Taron Egerton;Male;1;BeginnerSegment 1-2 movies;Kingsman;128;128;128;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Colin Egglesfield;Male;2;BeginnerSegment 1-2 movies;Something Borrowed;39;39;20;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Jesse Eisenberg;Male;23;MiddleSegment 16-30 movies;Rio;144;815;35;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Idris Elba;Female;22;MiddleSegment 16-30 movies;Avengers: Age of Ultron;459;1720;78;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Ansel Elgort;Male;5;LowerSegment 3-15 movies;Divergent;151;442;88;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Sam Elliott;Male;22;MiddleSegment 16-30 movies;Hulk;132;715;33;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Cary Elwes;Male;28;MiddleSegment 16-30 movies;Twister;242;1298;46;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Mireille Enos;Female;2;BeginnerSegment 1-2 movies;World War Z;202;253;126;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Omar Epps;Male;15;LowerSegment 3-15 movies;Scream 2;101;354;24;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Chris Evans;Male;22;MiddleSegment 16-30 movies;The Avengers;623;2049;93;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Alice Eve;Female;14;LowerSegment 3-15 movies;Star Trek Into Darkness;229;553;40;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Dakota Fanning;Female;22;MiddleSegment 16-30 movies;The Twilight Saga: Eclipse;301;1407;64;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Anna Faris;Female;21;MiddleSegment 16-30 movies;Alvin and the Chipmunks 2;220;1430;68;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Chris Farley;Male;6;LowerSegment 3-15 movies;Tommy Boy;33;130;22;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Vera Farmiga;Female;23;MiddleSegment 16-30 movies;The Conjuring;137;675;29;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Colin Farrell;Male;31;UpperSegment 31-74 movies;Minority Report;132;1096;35;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Michael Fassbender;Male;18;MiddleSegment 16-30 movies;X-Men: Days of Future Past;234;964;54;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Jon Favreau;Male;17;MiddleSegment 16-30 movies;Iron Man 3;409;1345;79;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Shiloh Fernandez;Female;7;LowerSegment 3-15 movies;Evil Dead (2013);54;103;15;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Will Ferrell;Male;29;MiddleSegment 16-30 movies;The LEGO Movie;258;1988;69;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
America Ferrera;Female;14;LowerSegment 3-15 movies;How to Train Your Dragon;218;575;41;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Tina Fey;Female;9;LowerSegment 3-15 movies;Megamind;148;531;59;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Sally Field;Female;27;MiddleSegment 16-30 movies;Forrest Gump;330;2061;76;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Ralph Fiennes;Male;32;UpperSegment 31-74 movies;Harry Potter / Deathly Hallows (P2);381;2447;77;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Jessica Brown Findlay;Female;1;BeginnerSegment 1-2 movies;Winter's Tale;13;13;13;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Colin Firth;Male;31;UpperSegment 31-74 movies;Mamma Mia!;144;1103;36;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Jenna Fischer;Female;8;LowerSegment 3-15 movies;Blades of Glory;119;188;24;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Laurence Fishburne;Male;34;UpperSegment 31-74 movies;Man of Steel;291;1753;52;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Carrie Fisher;Female;16;MiddleSegment 16-30 movies;Star Wars;461;1322;83;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Isla Fisher;Female;15;LowerSegment 3-15 movies;Wedding Crashers;209;1102;74;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Dan Fogler;Male;11;LowerSegment 3-15 movies;Horton Hears a Who!;155;355;32;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Harrison Ford;Male;40;UpperSegment 31-74 movies;Star Wars;461;3935;98;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Will Forte;Male;11;LowerSegment 3-15 movies;Cloudy with a Chance of Meatballs;125;268;24;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Ben Foster;Male;18;MiddleSegment 16-30 movies;Lone Survivor;125;400;22;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Jodie Foster;Female;26;MiddleSegment 16-30 movies;Silence of the Lambs;131;1052;41;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Megan Fox;Female;9;LowerSegment 3-15 movies;Transformers 2;402;1017;113;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Jamie Foxx;Male;29;MiddleSegment 16-30 movies;The Amazing Spider-Man 2;203;2025;70;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Claire Foy;Female;2;BeginnerSegment 1-2 movies;Season of the Witch;25;33;16;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Cecile de France;Female;7;LowerSegment 3-15 movies;Hereafter;33;67;10;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
James Franco;Male;34;UpperSegment 31-74 movies;Spider-Man;404;2104;62;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Brendan Fraser;Male;29;MiddleSegment 16-30 movies;Mummy Returns;202;1106;38;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Morgan Freeman;Male;58;UpperSegment 31-74 movies;The Dark Knight;535;4316;74;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Anna Friel;Female;11;LowerSegment 3-15 movies;Limitless;79;169;15;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Nick Frost;Male;11;LowerSegment 3-15 movies;Snow White and the Huntsman;155;395;36;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Josh Gad;Male;11;LowerSegment 3-15 movies;Frozen;401;760;69;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Zach Galifianakis;Male;16;MiddleSegment 16-30 movies;The Hangover;277;1332;83;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Vincent Gallo;Male;8;LowerSegment 3-15 movies;Buffalo '66;2;5;1;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
James Gandolfini;Male;28;MiddleSegment 16-30 movies;Crimson Tide;91;578;21;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Romola Garai;Male;10;LowerSegment 3-15 movies;Atonement;51;130;13;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Andrew Garfield;Male;8;LowerSegment 3-15 movies;The Amazing Spider-Man;262;587;73;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
James Garner;Male;13;LowerSegment 3-15 movies;Maverick;102;482;37;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Jennifer Garner;Female;19;MiddleSegment 16-30 movies;Juno;144;919;48;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Sarah Michelle Gellar;Female;13;LowerSegment 3-15 movies;Scooby-Doo;153;627;48;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Richard Gere;Male;42;UpperSegment 31-74 movies;Pretty Woman;178;1409;34;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Greta Gerwig;Female;13;LowerSegment 3-15 movies;No Strings Attached;71;133;10;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Paul Giamatti;Male;43;UpperSegment 31-74 movies;The Hangover Part II;255;1891;44;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Mel Gibson;Male;34;UpperSegment 31-74 movies;Signs;228;2114;62;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Tyrese Gibson;Female;15;LowerSegment 3-15 movies;Transformers 2;402;2247;150;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Cam Gigandet;Male;11;LowerSegment 3-15 movies;Twilight;193;441;40;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Karen Gillan;Female;2;BeginnerSegment 1-2 movies;Guardians of the Galaxy;333;361;180;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Brendan Gleeson;Male;39;UpperSegment 31-74 movies;Harry Potter / Goblet of Fire;290;1744;45;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Danny Glover;Male;41;UpperSegment 31-74 movies;2012;166;1490;36;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Selena Gomez;Female;6;LowerSegment 3-15 movies;Hotel Transylvania;148;222;37;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Matthew Goode;Male;13;LowerSegment 3-15 movies;Watchmen;108;306;24;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Cuba Gooding Jr.;Female;28;MiddleSegment 16-30 movies;Pearl Harbor;199;1335;48;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Ginnifer Goodwin;Female;8;LowerSegment 3-15 movies;Walk the Line;120;316;40;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Keith Gordon;Male;1;BeginnerSegment 1-2 movies;Back to School;91;91;91;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Zachary Gordon;Male;3;LowerSegment 3-15 movies;Diary of a Wimpy Kid;64;166;55;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Joseph Gordon-Levitt;Male;31;UpperSegment 31-74 movies;The Dark Knight Rises;448;1504;49;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Ryan Gosling;Male;17;MiddleSegment 16-30 movies;Crazy Stupid Love.;84;404;24;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Topher Grace;Male;12;LowerSegment 3-15 movies;Spider-Man 3;337;793;66;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Kelsey Grammer;Female;11;LowerSegment 3-15 movies;Transformers 4;245;612;56;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Hugh Grant;Male;27;MiddleSegment 16-30 movies;Notting Hill;116;902;33;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Eva Green;Female;11;LowerSegment 3-15 movies;Casino Royale;167;488;44;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Seth Green;Male;20;MiddleSegment 16-30 movies;Goldmember;213;963;48;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Ashley Greene;Female;10;LowerSegment 3-15 movies;The Twilight Saga: Eclipse;301;1369;137;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Clark Gregg;Male;15;LowerSegment 3-15 movies;The Avengers;623;1599;107;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Rupert Grint;Male;13;LowerSegment 3-15 movies;Harry Potter / Deathly Hallows (P2);381;2391;184;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Ioan Gruffudd;Male;13;LowerSegment 3-15 movies;San Andreas;155;631;49;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Christopher Guest;Male;2;BeginnerSegment 1-2 movies;Night at the Museum II;177;183;91;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Ryan Guzman;Male;3;LowerSegment 3-15 movies;The Boy Next Door;35;85;29;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
